Age,Income,Home_ownership,Employment_length,Loan_intent,internal_credit_rating,Loan_amount,Interest_rate,Loan_percent_income,Default,Credit_history_length,Loan_status,is_eligible,age_employment_ratio,income_per_credit_year
24.0,75000.0,Rent,8.0,Personal,C,5000.0,11.78,0.07,Y,2.0,False,True,0.3333333333333333,37500.0
29.0,45204.0,Rent,8.0,Medical,B,4000.0,11.48,0.09,N,7.0,False,True,0.27586206896551724,6457.714285714285
31.0,86004.0,Own,8.0,Venture,B,2000.0,10.74,0.02,N,6.0,False,True,0.25806451612903225,14334.0
26.0,25000.0,Rent,1.0,Debtconsolidation,E,1500.0,14.7,0.06,N,2.0,True,True,0.038461538461538464,12500.0
21.0,36000.0,Rent,0.0,Education,A,4500.0,6.62,0.12,N,2.0,False,True,0.0,18000.0
22.0,28000.0,Mortgage,1.0,Debtconsolidation,B,10750.0,11.14,0.38,N,2.0,False,True,0.045454545454545456,14000.0
29.0,100000.0,Mortgage,2.0,Personal,C,5000.0,15.96,0.05,N,8.0,False,True,0.06896551724137931,12500.0
34.0,40000.0,Own,2.0,Education,B,2000.0,10.74,0.05,N,6.0,False,True,0.058823529411764705,6666.666666666667
25.0,54000.0,Mortgage,2.0,Personal,B,4000.0,11.11,0.07,N,3.0,False,True,0.08,18000.0
30.0,96000.0,Mortgage,11.0,Medical,B,12000.0,9.99,0.12,N,7.0,False,True,0.36666666666666664,13714.285714285714
23.0,57000.0,Rent,6.0,Homeimprovement,D,3000.0,14.59,0.05,N,2.0,True,True,0.2608695652173913,28500.0
28.0,48000.0,Rent,0.0,Homeimprovement,C,7000.0,12.68,0.15,N,10.0,True,True,0.0,4800.0
27.0,225000.0,Mortgage,6.0,Debtconsolidation,C,10000.0,14.27,0.04,Y,7.0,False,True,0.2222222222222222,32142.85714285714
33.0,34400.0,Rent,0.0,Personal,B,1300.0,9.91,0.04,N,6.0,False,True,0.0,5733.333333333333
23.0,78996.0,Rent,0.0,Homeimprovement,C,10000.0,13.99,0.13,Y,3.0,True,True,0.0,26332.0
30.0,41000.0,Mortgage,1.0,Homeimprovement,C,10000.0,12.73,0.24,Y,10.0,False,True,0.03333333333333333,4100.0
24.0,95004.0,Mortgage,0.0,Medical,C,18000.0,13.35,0.19,N,3.0,False,True,0.0,31668.0
28.0,60000.0,Rent,3.0,Personal,A,12000.0,6.17,0.2,N,6.0,False,True,0.10714285714285714,10000.0
30.0,64000.0,Rent,8.0,Debtconsolidation,D,16000.0,15.7,0.25,Y,5.0,True,True,0.26666666666666666,12800.0
24.0,35000.0,Mortgage,2.0,Homeimprovement,A,7500.0,7.9,0.21,N,3.0,False,True,0.08333333333333333,11666.666666666666
24.0,69996.0,Mortgage,5.0,Venture,A,12000.0,11.662,0.17,N,2.0,False,True,0.20833333333333334,34998.0
25.0,61000.0,Mortgage,9.0,Homeimprovement,B,15000.0,9.88,0.25,N,2.0,False,True,0.36,30500.0
33.0,59000.0,Rent,17.0,Medical,B,9600.0,9.91,0.16,N,8.0,False,True,0.5151515151515151,7375.0
22.0,19176.0,Rent,3.0,Venture,C,2000.0,14.22,0.1,Y,2.0,False,True,0.13636363636363635,9588.0
25.0,57000.0,Mortgage,5.0,Homeimprovement,D,11200.0,14.46,0.2,Y,4.0,False,True,0.2,14250.0
24.0,28800.0,Rent,0.0,Medical,C,5300.0,15.27,0.18,N,3.0,False,True,0.0,9600.0
32.0,32423.0,Rent,10.0,Homeimprovement,B,8475.0,10.062,0.26,N,6.0,True,True,0.3125,5403.833333333333
23.0,55000.0,Rent,0.0,Debtconsolidation,C,10200.0,12.73,0.19,N,2.0,False,True,0.0,27500.0
41.0,103000.0,Mortgage,2.0,Debtconsolidation,D,20000.0,14.61,0.19,Y,16.0,True,True,0.04878048780487805,6437.5
60.0,31500.0,Rent,2.0,Debtconsolidation,C,4650.0,13.23,0.15,N,27.0,False,True,0.03333333333333333,1166.6666666666667
27.0,45996.0,Rent,3.0,Venture,C,10000.0,11.764,0.22,Y,5.0,False,True,0.1111111111111111,9199.2
23.0,33000.0,Rent,4.0,Education,C,10000.0,14.65,0.3,N,3.0,False,True,0.17391304347826086,11000.0
30.0,46800.0,Rent,7.0,Education,C,11200.0,13.98,0.24,Y,7.0,True,True,0.23333333333333334,6685.714285714285
26.0,161000.0,Rent,10.0,Venture,A,28000.0,7.9,0.17,N,4.0,False,True,0.38461538461538464,40250.0
26.0,46800.0,Mortgage,4.0,Homeimprovement,D,6000.0,14.91,0.13,N,2.0,False,True,0.15384615384615385,23400.0
29.0,47000.0,Rent,2.0,Education,B,7000.0,10.36,0.15,N,7.0,False,True,0.06896551724137931,6714.285714285715
24.0,47000.0,Mortgage,9.0,Venture,C,9600.0,15.96,0.2,N,2.0,False,True,0.375,23500.0
23.0,89204.0,Mortgage,5.0,Education,A,18000.0,7.9,0.2,N,4.0,False,True,0.21739130434782608,22301.0
24.0,113217.0,Mortgage,2.0,Education,A,6000.0,7.88,0.05,N,3.0,False,True,0.08333333333333333,37739.0
27.0,67200.0,Rent,0.0,Personal,A,8000.0,6.03,0.12,N,5.0,False,True,0.0,13440.0
41.0,90000.0,Mortgage,3.0,Personal,A,3000.0,7.14,0.03,N,17.0,False,True,0.07317073170731707,5294.117647058823
25.0,70000.0,Rent,0.0,Education,B,12000.0,11.99,0.17,N,2.0,False,True,0.0,35000.0
24.0,135000.0,Mortgage,8.0,Venture,A,5225.0,7.49,0.04,N,3.0,False,True,0.3333333333333333,45000.0
22.0,52650.0,Mortgage,1.0,Debtconsolidation,F,19200.0,17.26,0.36,N,4.0,True,True,0.045454545454545456,13162.5
27.0,80000.0,Mortgage,7.0,Debtconsolidation,B,7400.0,12.69,0.09,N,7.0,False,True,0.25925925925925924,11428.57142857143
22.0,35000.0,Own,2.0,Venture,C,13200.0,13.48,0.38,N,3.0,False,True,0.09090909090909091,11666.666666666666
26.0,65000.0,Mortgage,2.0,Homeimprovement,A,10000.0,6.62,0.15,N,3.0,False,True,0.07692307692307693,21666.666666666668
30.0,85000.0,Mortgage,2.0,Education,C,25000.0,12.84,0.29,Y,8.0,False,True,0.06666666666666667,10625.0
31.0,39000.0,Rent,0.0,Venture,D,2500.0,14.09,0.06,N,5.0,True,True,0.0,7800.0
22.0,50900.0,Mortgage,6.0,Debtconsolidation,C,22000.0,9.328,0.43,Y,3.0,False,True,0.2727272727272727,16966.666666666668
33.0,40000.0,Mortgage,1.0,Personal,A,7200.0,9.32,0.18,N,8.0,False,True,0.030303030303030304,5000.0
24.0,45000.0,Mortgage,2.0,Education,B,9200.0,11.89,0.2,N,3.0,False,True,0.08333333333333333,15000.0
21.0,38000.0,Rent,5.0,Debtconsolidation,A,3000.0,7.05,0.08,N,4.0,False,True,0.23809523809523808,9500.0
28.0,200000.0,Mortgage,12.0,Education,A,25000.0,7.9,0.12,N,9.0,False,True,0.42857142857142855,22222.222222222223
52.0,30000.0,Rent,6.0,Medical,C,5000.0,12.73,0.17,Y,18.0,False,True,0.11538461538461539,1666.6666666666667
31.0,50000.0,Rent,4.0,Personal,D,6000.0,15.62,0.12,Y,6.0,False,True,0.12903225806451613,8333.333333333334
33.0,57000.0,Mortgage,7.0,Education,B,15000.0,10.39,0.26,N,7.0,False,True,0.21212121212121213,8142.857142857143
22.0,60000.0,Mortgage,4.0,Venture,A,3000.0,6.76,0.05,N,4.0,False,True,0.18181818181818182,15000.0
28.0,50500.0,Rent,3.0,Homeimprovement,C,5200.0,12.53,0.1,N,8.0,False,True,0.10714285714285714,6312.5
22.0,30000.0,Rent,0.0,Venture,B,3600.0,12.21,0.12,N,3.0,False,True,0.0,10000.0
24.0,60516.0,Other,8.0,Debtconsolidation,B,18000.0,11.26,0.3,N,4.0,True,True,0.3333333333333333,15129.0
26.0,70000.0,Rent,6.0,Homeimprovement,A,12000.0,6.99,0.17,N,3.0,False,True,0.23076923076923078,23333.333333333332
29.0,200000.0,Own,13.0,Education,B,23000.0,12.18,0.12,N,9.0,False,True,0.4482758620689655,22222.222222222223
22.0,52800.0,Mortgage,6.0,Personal,C,6000.0,13.98,0.11,Y,3.0,False,True,0.2727272727272727,17600.0
29.0,58800.0,Mortgage,4.0,Venture,B,11400.0,10.99,0.19,N,9.0,False,True,0.13793103448275862,6533.333333333333
24.0,65000.0,Rent,1.0,Medical,B,6400.0,9.99,0.1,N,3.0,False,True,0.041666666666666664,21666.666666666668
29.0,45000.0,Rent,0.0,Medical,C,12000.0,12.99,0.27,N,8.0,False,True,0.0,5625.0
25.0,38400.0,Rent,5.0,Medical,B,2200.0,12.69,0.06,N,3.0,False,True,0.2,12800.0
24.0,94000.0,Rent,8.0,Homeimprovement,E,10000.0,18.64,0.11,N,2.0,False,True,0.3333333333333333,47000.0
23.0,51996.0,Rent,7.0,Personal,C,4000.0,13.98,0.08,Y,2.0,False,True,0.30434782608695654,25998.0
31.0,29000.0,Rent,14.0,Homeimprovement,C,15075.0,10.118,0.52,N,10.0,True,True,0.45161290322580644,2900.0
23.0,75000.0,Rent,4.0,Personal,C,6000.0,13.98,0.08,Y,2.0,False,True,0.17391304347826086,37500.0
23.0,40000.0,Rent,7.0,Venture,C,1500.0,13.99,0.04,Y,2.0,False,True,0.30434782608695654,20000.0
24.0,31200.0,Rent,3.0,Personal,C,2000.0,14.65,0.06,Y,2.0,False,True,0.125,15600.0
30.0,54000.0,Mortgage,0.0,Venture,A,9600.0,13.698000000000002,0.18,N,8.0,False,True,0.0,6750.0
28.0,72000.0,Mortgage,9.0,Homeimprovement,B,18000.0,11.89,0.25,N,8.0,False,True,0.32142857142857145,9000.0
26.0,105000.0,Rent,1.0,Debtconsolidation,B,12100.0,11.944,0.12,N,3.0,False,True,0.038461538461538464,35000.0
38.0,90000.0,Mortgage,14.0,Venture,B,21000.0,10.59,0.23,N,11.0,False,True,0.3684210526315789,8181.818181818182
26.0,87000.0,Mortgage,0.0,Personal,B,15000.0,10.62,0.17,N,4.0,False,True,0.0,21750.0
31.0,34000.0,Rent,3.0,Education,A,5000.0,5.42,0.15,N,7.0,False,True,0.0967741935483871,4857.142857142857
25.0,45996.0,Mortgage,9.0,Homeimprovement,C,11000.0,12.68,0.24,N,2.0,True,True,0.36,22998.0
27.0,46800.0,Mortgage,5.0,Education,B,6000.0,9.99,0.13,N,6.0,False,True,0.18518518518518517,7800.0
34.0,45000.0,Rent,3.0,Personal,B,7000.0,11.86,0.16,N,8.0,False,True,0.08823529411764706,5625.0
32.0,67000.0,Mortgage,12.0,Medical,B,10000.0,10.25,0.15,N,9.0,False,True,0.375,7444.444444444444
23.0,36000.0,Rent,0.0,Medical,B,1200.0,10.37,0.03,N,3.0,False,True,0.0,12000.0
40.0,165000.0,Mortgage,18.0,Debtconsolidation,A,9000.0,7.51,0.05,N,16.0,False,True,0.45,10312.5
28.0,90000.0,Mortgage,5.0,Venture,D,13600.0,16.32,0.15,Y,7.0,False,True,0.17857142857142858,12857.142857142857
26.0,48000.0,Mortgage,10.0,Personal,B,2000.0,10.99,0.04,N,2.0,False,True,0.38461538461538464,24000.0
26.0,68000.0,Mortgage,11.0,Medical,D,25000.0,15.65,0.37,N,2.0,True,True,0.4230769230769231,34000.0
24.0,39000.0,Rent,0.0,Debtconsolidation,A,3250.0,8.94,0.08,N,2.0,True,True,0.0,19500.0
25.0,85100.0,Mortgage,9.0,Personal,A,4500.0,6.39,0.05,N,3.0,False,True,0.36,28366.666666666668
29.0,39000.0,Rent,2.0,Personal,E,3000.0,16.7,0.08,Y,7.0,True,True,0.06896551724137931,5571.428571428572
21.0,30000.0,Rent,5.0,Education,A,12000.0,5.79,0.4,N,2.0,True,True,0.23809523809523808,15000.0
27.0,32000.0,Rent,0.0,Debtconsolidation,B,15000.0,11.216,0.47,N,7.0,True,True,0.0,4571.428571428572
23.0,10000.0,Rent,0.0,Homeimprovement,D,2500.0,14.59,0.25,Y,3.0,True,True,0.0,3333.3333333333335
26.0,49200.0,Mortgage,8.0,Education,A,4800.0,6.17,0.1,N,3.0,False,True,0.3076923076923077,16400.0
34.0,57000.0,Mortgage,6.0,Homeimprovement,A,2600.0,5.99,0.05,N,7.0,True,True,0.17647058823529413,8142.857142857143
31.0,200000.0,Mortgage,1.0,Medical,B,7800.0,9.63,0.04,N,8.0,False,True,0.03225806451612903,25000.0
38.0,39000.0,Rent,1.0,Education,E,5000.0,17.74,0.13,N,17.0,True,True,0.02631578947368421,2294.1176470588234
26.0,42000.0,Mortgage,0.0,Venture,B,4500.0,11.48,0.11,N,3.0,False,True,0.0,14000.0
23.0,65400.0,Rent,1.0,Debtconsolidation,C,10075.0,13.98,0.15,Y,2.0,False,True,0.043478260869565216,32700.0
36.0,60000.0,Rent,2.0,Homeimprovement,B,15000.0,12.62,0.25,N,12.0,False,True,0.05555555555555555,5000.0
25.0,140000.0,Mortgage,10.0,Medical,B,22000.0,8.88,0.16,N,3.0,False,True,0.4,46666.666666666664
25.0,34000.0,Mortgage,9.0,Debtconsolidation,B,10000.0,12.42,0.29,N,3.0,False,True,0.36,11333.333333333334
23.0,45000.0,Rent,8.0,Education,B,19600.0,9.91,0.44,N,2.0,True,True,0.34782608695652173,22500.0
38.0,160000.0,Mortgage,12.0,Education,A,14000.0,6.62,0.09,N,16.0,False,True,0.3157894736842105,10000.0
24.0,75000.0,Mortgage,8.0,Debtconsolidation,A,7000.0,7.9,0.09,N,4.0,False,True,0.3333333333333333,18750.0
26.0,64000.0,Mortgage,7.0,Homeimprovement,A,5000.0,6.62,0.08,N,2.0,False,True,0.2692307692307692,32000.0
22.0,95000.0,Mortgage,0.0,Education,A,10400.0,5.42,0.11,N,4.0,False,True,0.0,23750.0
35.0,48000.0,Rent,6.0,Education,A,17000.0,7.88,0.35,N,8.0,True,True,0.17142857142857143,6000.0
27.0,106000.0,Rent,5.0,Debtconsolidation,B,15000.0,10.75,0.14,N,6.0,False,True,0.18518518518518517,17666.666666666668
28.0,73992.0,Rent,2.0,Homeimprovement,B,20000.0,9.96,0.27,N,9.0,False,True,0.07142857142857142,8221.333333333334
26.0,75000.0,Rent,4.0,Education,B,14000.0,11.11,0.19,N,4.0,False,True,0.15384615384615385,18750.0
25.0,33316.0,Mortgage,4.0,Venture,A,5000.0,6.54,0.15,N,2.0,False,True,0.16,16658.0
22.0,45600.0,Own,6.0,Medical,C,1800.0,13.48,0.04,N,4.0,False,True,0.2727272727272727,11400.0
25.0,32000.0,Rent,2.0,Debtconsolidation,B,8000.0,10.62,0.25,N,3.0,False,True,0.08,10666.666666666666
22.0,22560.0,Rent,3.0,Personal,D,4200.0,15.2,0.19,Y,4.0,True,True,0.13636363636363635,5640.0
24.0,90000.0,Mortgage,0.0,Debtconsolidation,C,8000.0,12.99,0.09,N,2.0,False,True,0.0,45000.0
30.0,70000.0,Mortgage,14.0,Education,B,8000.0,9.91,0.11,N,5.0,False,True,0.4666666666666667,14000.0
23.0,96000.0,Mortgage,4.0,Education,B,20000.0,10.99,0.21,N,3.0,False,True,0.17391304347826086,32000.0
31.0,33276.0,Rent,2.0,Medical,F,8400.0,18.43,0.25,Y,5.0,True,True,0.06451612903225806,6655.2
29.0,33000.0,Mortgage,1.0,Venture,D,7100.0,16.77,0.22,N,7.0,False,True,0.034482758620689655,4714.285714285715
21.0,35000.0,Own,5.0,Venture,B,10000.0,9.984,0.29,N,4.0,False,True,0.23809523809523808,8750.0
30.0,54000.0,Rent,14.0,Personal,D,4425.0,17.49,0.08,Y,9.0,False,True,0.4666666666666667,6000.0
30.0,48500.0,Mortgage,5.0,Medical,A,9350.0,11.088,0.19,N,7.0,False,True,0.16666666666666666,6928.571428571428
32.0,86400.0,Mortgage,16.0,Medical,A,8000.0,6.03,0.09,N,10.0,False,True,0.5,8640.0
25.0,60000.0,Rent,0.0,Medical,A,1200.0,7.66,0.02,N,3.0,False,True,0.0,20000.0
34.0,44000.0,Rent,1.0,Education,C,11000.0,13.79,0.25,Y,6.0,False,True,0.029411764705882353,7333.333333333333
24.0,36000.0,Rent,7.0,Debtconsolidation,A,13000.0,7.29,0.36,N,3.0,True,True,0.2916666666666667,12000.0
27.0,64200.0,Rent,2.0,Personal,B,4000.0,9.25,0.06,N,5.0,False,True,0.07407407407407407,12840.0
29.0,52000.0,Rent,2.0,Education,C,2725.0,11.66,0.05,N,8.0,False,True,0.06896551724137931,6500.0
25.0,37700.0,Mortgage,7.0,Education,B,9000.0,11.58,0.24,N,2.0,True,True,0.28,18850.0
36.0,174462.0,Rent,9.0,Venture,E,20000.0,17.04,0.11,N,16.0,True,True,0.25,10903.875
24.0,44000.0,Rent,1.0,Medical,A,6000.0,8.0,0.14,N,2.0,False,True,0.041666666666666664,22000.0
33.0,225000.0,Mortgage,2.0,Venture,A,14000.0,7.91,0.06,N,5.0,False,True,0.06060606060606061,45000.0
22.0,50000.0,Mortgage,6.0,Education,B,8000.0,11.12,0.16,N,4.0,False,True,0.2727272727272727,12500.0
30.0,42000.0,Rent,0.0,Medical,B,1850.0,11.99,0.04,N,6.0,False,True,0.0,7000.0
27.0,43200.0,Rent,4.0,Medical,A,10000.0,7.49,0.23,N,6.0,False,True,0.14814814814814814,7200.0
22.0,95000.0,Mortgage,6.0,Medical,A,12000.0,7.51,0.13,N,3.0,False,True,0.2727272727272727,31666.666666666668
37.0,40080.0,Rent,7.0,Medical,A,2350.0,7.88,0.06,N,12.0,False,True,0.1891891891891892,3340.0
34.0,28500.0,Rent,0.0,Education,B,9175.0,12.69,0.32,N,5.0,True,True,0.0,5700.0
23.0,111150.0,Mortgage,1.0,Debtconsolidation,A,10000.0,8.0,0.09,N,3.0,False,True,0.043478260869565216,37050.0
23.0,59928.0,Own,7.0,Education,A,18000.0,6.91,0.3,N,3.0,False,True,0.30434782608695654,19976.0
33.0,33500.0,Rent,0.0,Education,A,6000.0,11.987999999999998,0.18,N,9.0,False,True,0.0,3722.222222222222
22.0,46000.0,Rent,4.0,Education,A,5000.0,7.88,0.11,N,2.0,False,True,0.18181818181818182,23000.0
26.0,71400.0,Own,9.0,Medical,E,16500.0,16.45,0.23,N,3.0,True,True,0.34615384615384615,23800.0
28.0,94050.0,Rent,7.0,Homeimprovement,C,20000.0,14.26,0.21,Y,9.0,False,True,0.25,10450.0
22.0,36050.0,Rent,2.0,Personal,D,6700.0,14.11,0.19,Y,4.0,True,True,0.09090909090909091,9012.5
22.0,35000.0,Rent,2.0,Medical,A,6000.0,7.49,0.17,N,2.0,False,True,0.09090909090909091,17500.0
27.0,60000.0,Mortgage,12.0,Medical,D,2000.0,15.7,0.03,Y,6.0,True,True,0.4444444444444444,10000.0
31.0,50000.0,Mortgage,1.0,Debtconsolidation,A,12000.0,7.88,0.24,N,6.0,False,True,0.03225806451612903,8333.333333333334
32.0,63800.0,Rent,6.0,Homeimprovement,D,11200.0,14.74,0.18,N,8.0,False,True,0.1875,7975.0
23.0,23760.0,Rent,2.0,Debtconsolidation,B,2800.0,10.736,0.12,N,2.0,False,True,0.08695652173913043,11880.0
22.0,71000.0,Rent,5.0,Medical,C,3000.0,14.65,0.04,N,4.0,False,True,0.22727272727272727,17750.0
51.0,74628.0,Mortgage,3.0,Personal,C,3000.0,13.49,0.04,Y,18.0,False,True,0.058823529411764705,4146.0
26.0,125000.0,Mortgage,10.0,Personal,A,10200.0,7.49,0.08,N,2.0,False,True,0.38461538461538464,62500.0
38.0,24000.0,Mortgage,6.0,Debtconsolidation,A,1500.0,6.03,0.06,N,16.0,False,True,0.15789473684210525,1500.0
24.0,73000.0,Mortgage,3.0,Education,C,8000.0,13.23,0.11,Y,2.0,False,True,0.125,36500.0
22.0,80000.0,Rent,1.0,Personal,B,14400.0,11.71,0.18,N,2.0,False,True,0.045454545454545456,40000.0
33.0,54000.0,Rent,17.0,Debtconsolidation,B,15000.0,11.86,0.28,N,7.0,True,True,0.5151515151515151,7714.285714285715
33.0,56000.0,Rent,1.0,Education,A,6500.0,6.76,0.12,N,6.0,False,True,0.030303030303030304,9333.333333333334
32.0,74400.0,Rent,16.0,Medical,B,25000.0,10.38,0.34,N,8.0,True,True,0.5,9300.0
23.0,33990.0,Mortgage,2.0,Debtconsolidation,C,1000.0,10.59,0.03,N,2.0,True,True,0.08695652173913043,16995.0
31.0,138000.0,Mortgage,15.0,Medical,B,24000.0,10.62,0.17,N,6.0,False,True,0.4838709677419355,23000.0
32.0,58000.0,Own,3.0,Venture,C,8000.0,13.85,0.14,N,10.0,False,True,0.09375,5800.0
31.0,122000.0,Rent,2.0,Education,C,25600.0,15.96,0.21,Y,7.0,False,True,0.06451612903225806,17428.571428571428
26.0,75000.0,Rent,3.0,Education,A,20000.0,9.134,0.27,N,3.0,False,True,0.11538461538461539,25000.0
27.0,61000.0,Mortgage,6.0,Debtconsolidation,A,1050.0,8.49,0.02,N,9.0,False,True,0.2222222222222222,6777.777777777777
22.0,55000.0,Rent,2.0,Education,B,6800.0,11.99,0.12,N,2.0,False,True,0.09090909090909091,27500.0
26.0,37800.0,Mortgage,10.0,Homeimprovement,D,7000.0,14.96,0.19,N,4.0,True,True,0.38461538461538464,9450.0
24.0,31000.0,Mortgage,8.0,Personal,D,9000.0,14.84,0.29,Y,4.0,True,True,0.3333333333333333,7750.0
35.0,29400.0,Rent,0.0,Venture,B,6150.0,12.21,0.21,N,5.0,False,True,0.0,5880.0
39.0,43680.0,Rent,9.0,Medical,B,16000.0,12.652,0.37,N,16.0,True,True,0.23076923076923078,2730.0
23.0,100000.0,Mortgage,2.0,Venture,A,14000.0,6.17,0.14,N,3.0,False,True,0.08695652173913043,33333.333333333336
46.0,88400.0,Mortgage,1.0,Medical,E,28000.0,18.39,0.32,N,16.0,True,True,0.021739130434782608,5525.0
22.0,37500.0,Rent,6.0,Medical,B,6000.0,12.42,0.16,N,2.0,False,True,0.2727272727272727,18750.0
26.0,15436.0,Rent,4.0,Homeimprovement,A,5500.0,7.88,0.36,N,3.0,True,True,0.15384615384615385,5145.333333333333
34.0,69000.0,Rent,0.0,Education,D,12800.0,15.7,0.19,N,10.0,True,True,0.0,6900.0
25.0,27600.0,Rent,4.0,Venture,B,3500.0,10.99,0.13,N,4.0,False,True,0.16,6900.0
33.0,33600.0,Own,3.0,Venture,C,9500.0,12.99,0.28,N,8.0,False,True,0.09090909090909091,4200.0
30.0,50000.0,Rent,6.0,Medical,C,10000.0,11.006,0.2,N,5.0,False,True,0.2,10000.0
34.0,225000.0,Mortgage,11.0,Venture,A,28000.0,6.62,0.12,N,6.0,False,True,0.3235294117647059,37500.0
26.0,78000.0,Mortgage,4.0,Personal,B,1750.0,10.36,0.02,N,2.0,False,True,0.15384615384615385,39000.0
23.0,125000.0,Other,4.0,Venture,A,7500.0,8.0,0.06,N,4.0,False,True,0.17391304347826086,31250.0
28.0,70000.0,Mortgage,13.0,Medical,A,5000.0,6.99,0.07,N,9.0,False,True,0.4642857142857143,7777.777777777777
39.0,70000.0,Mortgage,13.0,Debtconsolidation,A,8400.0,7.88,0.12,N,15.0,False,True,0.3333333333333333,4666.666666666667
45.0,26000.0,Rent,17.0,Medical,A,10000.0,8.49,0.38,N,13.0,True,True,0.37777777777777777,2000.0
27.0,99000.0,Mortgage,4.0,Medical,A,9000.0,7.14,0.09,N,5.0,False,True,0.14814814814814814,19800.0
36.0,89004.0,Rent,2.0,Personal,B,1500.0,11.36,0.02,N,14.0,False,True,0.05555555555555555,6357.428571428572
33.0,56000.0,Mortgage,2.0,Personal,A,11500.0,7.14,0.21,N,10.0,False,True,0.06060606060606061,5600.0
29.0,63000.0,Rent,4.0,Personal,A,6000.0,7.51,0.1,N,7.0,False,True,0.13793103448275862,9000.0
29.0,15000.0,Rent,4.0,Personal,C,2200.0,13.48,0.15,N,10.0,True,True,0.13793103448275862,1500.0
26.0,90000.0,Rent,8.0,Personal,C,8400.0,9.84,0.09,N,2.0,False,True,0.3076923076923077,45000.0
27.0,10400.0,Own,4.0,Personal,C,4750.0,14.72,0.46,Y,7.0,True,True,0.14814814814814814,1485.7142857142858
23.0,36000.0,Rent,4.0,Debtconsolidation,B,3700.0,9.25,0.1,N,2.0,False,True,0.17391304347826086,18000.0
25.0,60000.0,Rent,0.0,Venture,B,12000.0,11.86,0.2,N,4.0,False,True,0.0,15000.0
26.0,41000.0,Rent,1.0,Medical,A,1300.0,7.9,0.03,N,4.0,False,True,0.038461538461538464,10250.0
22.0,56004.0,Mortgage,6.0,Medical,B,6000.0,11.86,0.11,N,3.0,False,True,0.2727272727272727,18668.0
34.0,45000.0,Rent,17.0,Venture,A,12000.0,6.03,0.27,N,9.0,False,True,0.5,5000.0
27.0,130000.0,Rent,9.0,Homeimprovement,A,9000.0,7.05,0.07,N,6.0,False,True,0.3333333333333333,21666.666666666668
24.0,54996.0,Mortgage,8.0,Medical,B,19000.0,10.83,0.35,N,3.0,False,True,0.3333333333333333,18332.0
27.0,65000.0,Rent,4.0,Education,A,8400.0,6.99,0.13,N,5.0,False,True,0.14814814814814814,13000.0
37.0,28500.0,Mortgage,6.0,Education,A,1800.0,6.76,0.06,N,12.0,False,True,0.16216216216216217,2375.0
25.0,110000.0,Own,6.0,Personal,B,28000.0,9.91,0.25,N,2.0,False,True,0.24,55000.0
24.0,41100.0,Own,4.0,Personal,A,5600.0,6.03,0.14,N,3.0,False,True,0.16666666666666666,13700.0
36.0,72000.0,Own,5.0,Venture,B,6000.0,11.36,0.08,N,17.0,False,True,0.1388888888888889,4235.294117647059
22.0,63000.0,Mortgage,3.0,Personal,A,10000.0,8.94,0.16,N,4.0,False,True,0.13636363636363635,15750.0
22.0,60000.0,Other,6.0,Venture,D,8000.0,16.0,0.13,N,2.0,False,True,0.2727272727272727,30000.0
23.0,30000.0,Rent,0.0,Medical,B,4000.0,10.36,0.13,N,4.0,False,True,0.0,7500.0
38.0,17600.0,Rent,0.0,Personal,E,4000.0,16.0,0.23,N,11.0,True,True,0.0,1600.0
22.0,57000.0,Mortgage,6.0,Education,B,25000.0,9.01,0.44,N,2.0,False,True,0.2727272727272727,28500.0
29.0,63533.0,Rent,0.0,Personal,A,5400.0,7.66,0.08,N,7.0,False,True,0.0,9076.142857142857
41.0,57996.0,Mortgage,2.0,Personal,B,15000.0,9.62,0.26,N,12.0,False,True,0.04878048780487805,4833.0
29.0,162350.0,Rent,12.0,Medical,G,25000.0,21.64,0.15,Y,9.0,True,True,0.41379310344827586,18038.88888888889
25.0,77000.0,Mortgage,9.0,Debtconsolidation,A,3000.0,7.49,0.04,N,3.0,False,True,0.36,25666.666666666668
25.0,50000.0,Rent,9.0,Homeimprovement,C,6000.0,14.17,0.12,N,3.0,False,True,0.36,16666.666666666668
22.0,80000.0,Mortgage,4.0,Personal,A,7250.0,9.716,0.09,N,3.0,False,True,0.18181818181818182,26666.666666666668
23.0,32400.0,Rent,7.0,Education,A,10000.0,8.49,0.31,N,3.0,True,True,0.30434782608695654,10800.0
25.0,93000.0,Rent,0.0,Debtconsolidation,D,12000.0,13.12,0.13,N,2.0,True,True,0.0,46500.0
35.0,46000.0,Rent,2.0,Personal,C,12800.0,13.48,0.28,Y,8.0,False,True,0.05714285714285714,5750.0
34.0,80600.0,Mortgage,2.0,Education,B,15000.0,12.21,0.19,N,6.0,False,True,0.058823529411764705,13433.333333333334
40.0,30000.0,Rent,4.0,Medical,D,5500.0,14.74,0.18,N,12.0,False,True,0.1,2500.0
30.0,155867.0,Mortgage,15.0,Education,C,8000.0,12.84,0.05,Y,10.0,False,True,0.5,15586.7
27.0,38004.0,Rent,8.0,Medical,A,5000.0,9.63,0.13,N,10.0,False,True,0.2962962962962963,3800.4
23.0,56160.0,Mortgage,2.0,Personal,B,3050.0,10.59,0.05,N,2.0,False,True,0.08695652173913043,28080.0
32.0,37300.0,Rent,2.0,Venture,B,5000.0,12.53,0.13,N,9.0,False,True,0.0625,4144.444444444444
